"CODE_SERIE";"CODE_PAYS";"UNITE";"SOURCE";"VALEUR";"QUALITE";"STATUT";"COMMENTAIRE";"DATE_MAJ";"AUTEUR";"C_TITRE_FRA";"C_TITRE_ENG"
cst_esaco2ccbl;fix;tco2/tep;GIEC;2.932996;1;o;;2016-03-09 11:56:07;LEOG;;
cst_gazuntep;fix;kep/m3;NRD;0.81685;1;o;;2016-03-09 11:56:07;LEOG;;
cst_gazun;fix;"10^-9tep/cal";NRD;0.09;1;o;;2016-03-09 11:56:07;LEOG;;
cst_pcco2gnasto;fix;"1";GIEC;0.33;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ebdun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_btoun;fix;tep/t;NRD;0.48;1;o;;2016-03-09 11:56:07;LEOG;;
cst_schun;fix;tep/t;NRD;0.23;1;o;;2016-03-09 11:56:07;LEOG;;
cst_eshun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ebpun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_schco2ccbl;fix;tco2/tep;GIEC;4.468596;1;o;;2016-04-22 10:33:55;LEOG;;
cst_napun;amnord;tep/t;NRD;1.075;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du naphta;Naphta standard conversion factor
cst_lubun;amnord;tep/t;NRD;1;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard des lubrifiants;Lubricants standard conversion factor
cst_lubun;pacif;tep/t;NRD;1.025;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard des lubrifiants;Lubricants standard conversion factor
cst_bitun;pacif;tep/t;NRD;0.927;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du bitume;Bitumen standard conversion factor
cst_prfun;pacif;tep/t;NRD;0.96;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard de la paraffine;Paraffin standard conversion factor
cst_antco2ccbl;fix;tco2/tep;GIEC;4.115408;1;o;;2018-06-08 09:27:01;LEOG;;
cst_gocco2ccbl;fix;tco2/tep;GIEC;3.37832;1;o;;2018-06-08 09:27:01;LEOG;;
cst_whico2ccbl;fix;tco2/tep;GIEC;3.0712;1;o;;2018-06-08 09:27:01;LEOG;;
cst_prfco2ccbl;fix;tco2/tep;GIEC;3.0712;1;o;;2018-06-08 09:27:01;LEOG;;
cst_gacco2ccbl;fix;tco2/tep;GIEC;7.616576;1;o;;2018-06-08 09:27:01;LEOG;;
cst_caeun;fix;tep/t;NRD;1.027;1;o;;2018-08-10 09:46:25;LEOG;Coefficient de conversion standard du carburéacteur type essence;Gasoline type jet fuel standard conversion factor
cst_cakun;fix;tep/t;NRD;1.0653;1;o;;2018-08-10 09:46:25;LEOG;Coefficient de conversion standard du carburéacteur type kérosène;Kerosene type jet fuel standard conversion factor
cst_ockun;fix;tep/t;NRD;0.68;1;o;;2018-08-10 09:50:29;LEOG;;
cst_gcoun;fix;tep/t;NRD;0.68;1;o;;2018-08-10 09:50:29;LEOG;;
cst_sopun;fix;tep/MWh;NRD;0.086;1;o;;2018-08-10 16:28:49;LEOG;;
cst_sotun;fix;tep/MWh;NRD;0.086;1;o;;2018-08-10 16:28:49;LEOG;;
cst_caebltun;fix;bl/t;NRD;7.93;1;o;;2018-08-10 16:32:12;LEOG;;
cst_cakbltun;fix;bl/t;NRD;7.93;1;o;;2018-08-10 16:32:12;LEOG;;
cst_caeun;amnord;tep/t;NRD;1.065;1;o;;2018-08-10 16:34:39;LEOG;;
cst_cakun;amnord;tep/t;NRD;1.0653;1;o;;2018-08-10 16:34:39;LEOG;;
cst_caeun;pacif;tep/t;NRD;1.0653;1;o;;2018-08-10 16:35:39;LEOG;;
cst_cakun;pacif;tep/t;NRD;1.0629;1;o;;2018-08-10 16:35:39;LEOG;;
cst_glcun;fix;tep/t;NRD;1.027;1;o;;2019-07-23 08:10:50;LEOG;;
cst_glcbltun;fix;bl/t;NRD;7.93;1;o;;2019-07-23 16:35:01;LEOG;;
cst_tkbrtkm;fix;"1";NRD;2.5;1;o;;2019-08-05 11:20:15;LEOG;;
cst_tkbrpkm;fix;"1";NRD;1.7;1;o;;2019-08-05 11:20:15;LEOG;;
cst_petrend;fix;%;NRD;76;1;o;;2019-09-30 16:50:11;LEOG;;
cst_vaprend;fix;%;NRD;95;1;o;;2019-09-30 16:50:11;LEOG;;
cst_elerend;fix;%;NRD;97;1;o;;2019-09-30 16:50:11;LEOG;;
cst_gazrend;fix;%;NRD;80;1;o;;2019-09-30 16:50:11;LEOG;;
cst_cmsrend;fix;%;NRD;65;1;o;;2019-09-30 16:50:11;LEOG;;
cst_encrend;fix;%;NRD;55;1;o;;2019-09-30 16:50:11;LEOG;;
cst_coefvpcvlr;fix;"1";NRD;1.8;1;o;;2019-11-05 15:09:40;LEOG;;
cst_coefvpcvlre;fix;"1";NRD;1.4;1;o;;2019-11-05 15:09:40;LEOG;;
cst_coefvpccam;fix;"1";NRD;16;1;o;;2019-11-05 15:09:40;LEOG;;
cst_coefvpccamvlre;fix;"1";NRD;2;1;o;;2019-11-05 15:09:40;LEOG;;
cst_eauun;fix;tep/MWh;NRD;0.086;1;o;;2020-02-27 13:40:14;LEOG;;
cst_dmnco2ccbl;fix;tco2/tep;GIEC;3.839;1;o;;2016-06-24 12:20:52;LEOG;;
