nrg_bal,siec,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 
FC_OTH_HH_E,G3000,TJ_GCV,EU27_2020	3636008.551 	3702374.697 	3741927.611 	: 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,FI	1114.000 	1240.000 	1140.000 	1220.000 	1247.000 	1223.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,FR	500239.249 	528604.869 	537229.625 	570840.273 	587565.523 	543047.969 	504318.609 	674889.239 	653870.135 	590626.926 	645274.000 
FC_OTH_HH_E,G3000,TJ_GCV,GE	43958.219 	38643.226 	33621.411 	34626.839 	31026.000 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,HR	22592.773 	21357.484 	21734.675 	22288.966 	21672.667 	20763.676 	20168.853 	22758.682 	23878.826 	25413.771 	27824.977 
FC_OTH_HH_E,G3000,TJ_GCV,HU	140800.000 	129925.556 	131677.778 	138243.999 	130880.999 	121754.573 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,IE	27380.001 	27454.205 	28045.520 	25789.409 	26137.235 	25771.557 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,IT	741184.397 	750211.539 	767551.650 	802963.627 	795374.000 	790168.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,LT	8111.100 	7482.100 	7665.000 	7153.000 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,LU	12012.911 	11462.163 	11375.635 	12446.574 	10954.428 	10297.863 	9448.538 	9831.502 	9294.951 	10037.661 	10667.473 
FC_OTH_HH_E,G3000,TJ_GCV,LV	5097.246 	5151.264 	5544.369 	5179.884 	4948.000 	4563.000 	4714.000 	4731.000 	4969.000 	4970.000 	5789.000 
FC_OTH_HH_E,G3000,TJ_GCV,MD	13412.000 	12067.000 	12004.000 	10476.000 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,MK	8.213 	8.400 	9.000 	7.000 	4.280 	8.602 	1.875 	0.419 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,NL	294148.938 	307271.639 	318206.001 	320327.411 	330251.001 	316986.001 	297449.001 	398852.000 	375453.000 	351088.999 	451936.000 
FC_OTH_HH_E,G3000,TJ_GCV,NO	72.799 	72.009 	149.260 	149.685 	167.659 	156.179 	176.703 	172.744 	164.941 	153.738 	184.288 
FC_OTH_HH_E,G3000,TJ_GCV,PL	160833.000 	169276.000 	165679.000 	168858.000 	161276.000 	146864.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,PT	13651.000 	13223.000 	12704.000 	11664.000 	11343.000 	12230.000 	12009.000 	11385.000 	11993.000 	12001.000 	13910.000 
FC_OTH_HH_E,G3000,TJ_GCV,RO	126465.106 	116523.536 	116942.622 	112635.567 	106422.235 	104336.099 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,RS	11223.060 	9451.822 	9037.581 	8890.498 	7804.000 	7031.000 	6631.000 	8095.000 	9047.000 	9877.000 	10786.000 
FC_OTH_HH_E,G3000,TJ_GCV,SE	884.000 	926.000 	1521.000 	1680.000 	1406.000 	1333.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,SI	4908.114 	4919.804 	5163.185 	5536.813 	5350.918 	4812.972 	4123.126 	5321.894 	5451.448 	5267.827 	5286.450 
FC_OTH_HH_E,G3000,TJ_GCV,SK	53190.000 	52102.000 	52050.000 	53499.000 	49681.000 	48871.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,UA	: 	317785.001 	404218.001 	369694.440 	432004.100 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,UK	: 	: 	1113013.181 	1062275.483 	1101149.837 	1071293.911 	1021287.567 	1240203.463 	1235448.412 	1111826.704 	1402543.796 
FC_OTH_HH_E,G3200,THS_T,EA19	: 	: 	: 	: 	4270.077 	3896.405 	2927.576 	3372.690 	3267.827 	3393.998 	3802.215 
FC_OTH_HH_E,G3200,THS_T,GE	: 	: 	: 	: 	13.849 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3200,THS_T,UA	: 	25.000 	69.000 	51.880 	105.015 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3200,THS_T,UK	: 	: 	208.642 	208.186 	214.515 	204.720 	213.130 	299.920 	297.270 	285.740 	394.440 
FC_OTH_HH_E,G3200,TJ,EA19	: 	: 	: 	: 	195582.862 	180478.172 	135889.965 	156485.525 	151731.698 	157569.016 	176530.359 
FC_OTH_HH_E,G3200,TJ,GE	: 	: 	: 	: 	637.054 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3200,TJ,UA	: 	1150.000 	3174.000 	2386.480 	4830.690 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3200,TJ,UK	: 	: 	9504.380 	9481.116 	9771.592 	9332.801 	9718.682 	13696.612 	13579.850 	13059.287 	17991.088 
FC_OTH_HH_E,H8000,TJ,AT	32948.664 	32094.526 	32504.214 	34549.075 	32618.674 	31476.254 	28643.624 	31185.327 	27395.400 	24492.262 	24988.633 
FC_OTH_HH_E,H8000,TJ,BA	4107.000 	3901.000 	3964.000 	3997.000 	3991.000 	4051.000 	3506.000 	: 	: 	: 	: 
FC_OTH_HH_E,H8000,TJ,BE	592.700 	557.500 	550.000 	514.700 	510.400 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,H8000,TJ,BG	13814.000 	12877.289 	13556.738 	14226.332 	13591.000 	13928.000 	13010.000 	13328.000 	14401.000 	15047.000 	14840.000 
FC_OTH_HH_E,H8000,TJ,CZ	40862.185 	40663.541 	41797.590 	44627.000 	44253.000 	42545.000 	: 	: 	: 	: 	: 
